HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/abuseReport/{id}	Find an abuse report.  id AbuseReportID! ID of the abuse report. 	 0 	 1 	 Contextual Resource Names
GET	/abuseReportLabels	Abuse report labels.  searchTerm String Search term to find labels with. 	 0 	 1 	 Contextual Resource Names
GET	/addOnPurchase/{id}	Retrieve the active add-on purchase. This query can be used in GitLab SaaS and self-managed environments addOnType	GitlabSubscriptionsAddOnType!	Type of add-on for the add-on purchase. namespaceId	NamespaceID	ID of namespace that the add-on was purchased for. 	 0 	 1 	 Contextual Resource Names
GET	/aiMessages	Find GitLab Duo Chat messages.  requestIds [ID!] Array of request IDs to fetch. roles [AiMessageRole!] Array of roles to fetch. 	 1 	 0 	 Contextless Resource Names
GET	/auditEventDefinitions	Definitions for all audit events available on the instance.  n/a 	 0 	 1 	 Contextual Resource Names
GET	/auditEventsInstanceAmazonS3Configurations	Instance-level Amazon S3 configurations for audit events. n/a 	 0 	 1 	 Contextual Resource Names
GET	/boardList/{id}	Find an issue board list.  id ListID! Global ID of the list. 	 0 	 1 	 Contextual Resource Names
GET	/ciCatalogResource/{id}	A single CI/CD Catalog resource visible to an authorized user.  id CiCatalogResourceID CI/CD Catalog resource global ID. 	 0 	 1 	 Contextual Resource Names
GET	/ciCatalogResources/{projectPath}	All CI/CD Catalog resources under a common namespace, visible to an authorized user.  projectPath ID Project with the namespace catalog. 	 0 	 1 	 Contextual Resource Names
GET	/ciConfig/{projectPath}	Linted and processed contents of a CI config. Should not be requested more than once per request  projectPath ID! Project of the CI config. 	 0 	 1 	 Contextual Resource Names
GET	/ciMinutesUsage/{namespaceId}	Compute usage data for a namespace.  namespaceId NamespaceID Global ID of the Namespace for the monthly compute usage. 	 0 	 1 	 Contextual Resource Names
GET	/ciPipelineStage/{id}	Stage belonging to a CI pipeline. id CiStageID! Global ID of the CI stage. 	 0 	 1 	 Contextual Resource Names
GET	/ciQueueingHistory	Time it took for ci job to be picked up by runner in percentiles. n/a 	 0 	 1 	 Contextual Resource Names
