HTTP-Method	URI	Description	Anti-Pattern	Pattern	Comment
GET	/{ig-comment-id}?fields={fields}	Reading a Comment 	 0 	 1 	 Pertinent Documentation
POST	/{ig-comment-id}?hide={hide}	Hiding/Unhiding a Comment 	 0 	 1 	 Pertinent Documentation
DELETE	/{ig-comment-id}	Deleting a Comment 	 0 	 1 	 Pertinent Documentation
GET	/oauth/authorize	Get the Authorization Window. 	 0 	 1 	 Pertinent Documentation
POST	/oauth/access_token	Exchange an Authorization Code for a short-lived Instagram User Access Token. 	 0 	 1 	 Pertinent Documentation
GET	/access_token	Exchange a short-lived Instagram User Access Token for a long-lived Instagram User Access Token. 	 0 	 1 	 Pertinent Documentation
GET	/refresh_access_token	Refresh a long-lived Instagram User Access Token. 	 0 	 1 	 Pertinent Documentation
GET	/oauth/authorize	Get the Authorization Window. 	 0 	 1 	 Pertinent Documentation
GET	/{media-id}	Get fields and edges on an image, video, or album. 	 1 	 0 	 Non-pertinent Documentation
GET	/{media-id}/children	Get a list of images and videos on an album. 	 1 	 0 	 Non-pertinent Documentation
GET	/{user-id}/media	Get a list of images, videos, or albums on a User. 	 0 	 1 	 Pertinent Documentation
GET	/{user-id}	Get fields and edges on a User. 	 0 	 1 	 Pertinent Documentation
GET	/{user-id}/media	Get a list of images, videos, or albums on a User. 	 0 	 1 	 Pertinent Documentation
GET	/{ig-hashtag-id}	Returns Fields and Edges on an IG Hashtag. 	 0 	 1 	 Pertinent Documentation
GET	/{ig-media-id}?fields={fields}	Gets Fields and Edges on an IG Media. 	 0 	 1 	 Pertinent Documentation
POST	/{ig-media-id}?comment_enabled={comment_enabled}	Enables or disables comments on a media object. 	 0 	 1 	 Pertinent Documentation
POST	/{ig-media-id}/comments?message={message}	Creates an IG Comment on an IG Media object. 	 0 	 1 	 Pertinent Documentation
GET	/{ig-media-id}/comments	Returns a list of IG Comments on an IG Media object. 	 0 	 1 	 Pertinent Documentation
GET	/{ig-user-id}?fields={fields}	Get fields and edges on an Instagram Business or Creator Account. 	 0 	 1 	 Pertinent Documentation
GET	/{page-id}?fields=instagram_business_account	Returns the IG User connected to the Facebook Page. 	 0 	 1 	 Pertinent Documentation
