***Anti-Pattern*** 
Count: 5
{api-version}/{ig-media-id}?comment_enabled={comment-enabled} &access_token={access-token}	Non-standard End-point	 [blank space/tab found] 
{api-version}/{ig-user-id}/insights ?metric={metric} &period={period} &since={since} &until={until} &access_token={access-token}	Non-standard End-point	 [blank space/tab found] 
/{api-version}/{ig-media-id} ?fields={fields} &access_token={access-token}	Non-standard End-point	 [blank space/tab found] 
/{api-version}/{ig-user-id} ?fields={fields} &access_token={access-token}	Non-standard End-point	 [blank space/tab found] 
/v9.0/{ig-user-id}/content_publishing_limit ?fields={fields} &since={since} &access_token={access-token}	Non-standard End-point	 [blank space/tab found] 

***Patterns*** 
Count: 23
/{ig-comment-id}?fields={fields}	Standard End-point	
/oauth/access_token	Standard End-point	
/{user-id}/accounts?access_token={user-access-token}	Standard End-point	
/{app-id}|{client-token}	Standard End-point	
/{api-version}/{ig-comment-id}	Standard End-point	
/{api-version}/{ig-comment-id}/replies	Standard End-point	
/{ig-comment-id}/replies?message={message}	Standard End-point	
/{ig-media-id}/comments	Standard End-point	
/{ig-comment-id}/replies	Standard End-point	
/{ig-comment-id}	Standard End-point	
/{api-version}/{instagram-container-id}?fields={fields}&access_token={access-token}	Standard End-point	
/{api-version}/{ig-hashtag-id}?fields={fields}&access_token={access-token}	Standard End-point	
/{api-version}/{ig-media-id}?fields={fields}&access_token={access-token}	Standard End-point	
/{api-version}/{ig-user-id}	Standard End-point	
/{api-version}/{ig-user-id}?fields=business_discovery.username({username})	Standard End-point	
/v9.0/{ig-user-id}/content_publishing_limit?fields={fields}&since={since}&access_token={access-token}	Standard End-point	
/{api-version}//{instagram-container-id}	Standard End-point	
/{api-version}//{ig-hashtag-id}	Standard End-point	
/{ig-hashtag-id}/recent_media?user_id={user-id}&fields={fields}	Standard End-point	
/{ig-hashtag-id}/top_media?user_id={user-id}&fields={fields}	Standard End-point	
/{api-version}/{ig-media-id}?comment_enabled={comment-enabled}&access_token={access-token}	Standard End-point	
/{ig-user-id}?fields=business_discovery.username({username})	Standard End-point	
/{api-version}/{ig-user-id}/insights	Standard End-point	
